x,y,vx,vy
23.93,32.35,5.26,-1.56
12.3,17.66,5.38,-3.33
50.67,3.44,-7.47,-0.43
47.29,25.17,-4.48,-2.83
18.6,2.94,0.75,6.83
29.81,32.11,0.05,5.19
45.34,4.68,-0.09,-3.34
21.41,17.72,2.67,-5.94
6.92,3.5,4.29,6.13
45.78,44.15,6.23,3.47
10,10,5,0
20,10,-5,0
38.14,47.86,4.31,1.59
15.27,34.22,-6.19,2.83
50.96,5.62,-3.46,-0.72
13.14,24.67,4.85,-5.18
27.5,13.33,2.12,4.34
9.46,40.27,3.25,3.59
3.15,17.65,-5.13,6.42
33.78,2.34,-4.97,5.16
10.67,29.78,0.58,-2.11
49.23,19.36,-6.22,1.87
24.37,8.92,1.69,3.98
8.46,13.67,4.28,0.53
47.54,35.33,-2.89,-4.96
39.27,17.94,3.44,-2.62
11.43,45.5,6.51,-2.17
28.32,23.81,5.12,4.58
6.78,32.96,-2.76,6.21
22.59,27.39,2.98,-4.43
41.35,10.15,-4.21,3.83
3.62,41.82,1.97,-6.18
14.29,38.67,-4.73,1.44
35.51,7.92,-0.59,5.31
49.88,22.5,2.37,-3.78
30.42,39.7,4.13,1.87
21.85,44.95,1.88,-5.64
5.16,19.67,5.39,0.92
10.58,6.37,-6.54,3.27
37.82,24.54,2.15,-6.42
16.91,48.63,-5.91,0.29
8.23,14.53,1.07,6.18
31.58,2.17,-2.39,5.76
43.84,11.58,4.93,-2.56
25.97,7.64,1.48,4.89
13.29,25.36,5.73,-1.47
19.4,5.27,-5.36,4.23
2.45,36.8,4.28,-3.22
48.67,19.6,-3.77,2.38
7.48,23.29,2.84,5.09
45.35,9.61,-1.94,-5.37
11.28,43.27,3.69,-2.86
9.62,21.42,5.04,1.03
41.1,4.72,3.89,-3.73
14.19,33.89,-6.48,2.45
16.4,20.83,0.54,-4.94
6.83,9.27,2.15,6.41
33.18,8.37,-5.61,1.92
24.98,37.55,4.77,-1.83
19.57,4.13,-6.34,4.73
35.27,42.34,3.57,1.96
18.5,31.4,2.61,5.28
40.22,14.98,-1.76,-5.48
13.76,2.65,5.32,-2.58
28.98,21.31,2.95,3.48
4.1,19.84,-5.52,2.67
12.94,12.5,4.33,1.41
29.87,15.78,-1.88,5.47
42.45,25.92,6.17,-0.73
31.93,7.5,-3.69,4.89
45.63,39.21,1.42,-4.18
6.52,31.63,2.88,6.13
38.27,6.79,-0.91,4.57
23.65,28.17,4.12,-1.98
15.77,15.54,-3.34,5.41
44.81,11.96,2.27,4.11
12.37,23.82,-4.49,5.26
49.91,29.47,3.76,-1.91
22.59,14.62,-2.89,5.52
8.12,3.67,1.94,6.22
37.96,19.82,-3.47,-4.12
16.73,27.58,4.98,0.63
7.58,24.92,5.79,-2.48
32.1,43.19,-1.53,3.67
11.56,36.48,2.39,5.54
26.74,41.87,3.19,-3.41
50.32,13.76,-5.72,2.91
13.27,17.53,-4.11,6.04
3.65,39.58,4.52,-2.83
42.84,21.36,-3.85,1.67
8.51,27.13,5.71,-3.98
31.73,29.78,-1.36,5.82
